Challenge Area,Challenge Sub-Area,Challenge Component,Benchmark ID,Dataset,Data Producer,Year,Producer ID,Indicator Title,Indicator ID,Source Indicator ID,Indicator Question,Indicator Description,Value Max,Possible Text Values,Qual. Assessment,URL(s),Core vs Context,Cluster?,OGP-Adjusted,OGP Notes,To Revise,OGP Score,OGP Countries Meeting Benchmark,OGP Countries Not Meeting Benchmark,OGP Countries Not Assessed,Example Assesments,In Data? ,For GDF
Anti-Corruption,Asset and Interest Disclosure,Legal Requirements,ac_ad_07,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Publication Requirement,ac_ad_pubreq,G.PI.IAD.a.EXIST_PUBLICATION,"Are there operational laws, policies, or regulations requiring publication of this information in any form?","From GDB: Most countries around the world have a requirement that public officials declare their interests and assets. Some such requirements are motivated by a desire to avoid conflicts of interest, some to eliminate illicit enrichment, while others combine elements of the two.

There is substantial variance in whose interests and assets must be disclosed. Some frameworks only require public officials who hold specific positions to make financial disclosures, some require all public officials. Some frameworks limit disclosures to the interests and assets under the direct control of the public official alone, some require disclosures of interests and assets belonging to partners, family members, or other close associates.

This indicator is based on the presence and strength of legislation, regulations, or policies that govern whether:
-Financial disclosures contain data on income, spending, assets, and debts.
-Declarations cover both financial interests (income, assets, and liabilities) and non-financial interests (gifts, hospitality, employment, memberships, etc.).
-Declarations are updated in a timely fashion; this includes regular updates, updates that are responsive to changes in position or in interests, assets, and liabilities, as well as ad hoc disclosures to respond to potential or actual conflicts of interest that may arise.
-Financial disclosures are published.
-Declarations must also disclose interests, assets, and liabilities held by a public official's partner, family members, or other close associates.
-A mandate is given to an independent agency or institution to examine declarations and/or investigate violations.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PI.IAD/
Data: https://globaldatabarometer.org/",Core,0,1,,,0.46,Argentina; Brazil; Chile; Colombia; Dominican Republic; Ecuador; Guatemala; Mexico; Panama; Peru; Paraguay; Senegal; Uruguay,Benin; Burkina Faso; Cote d'Ivoire; Costa Rica; Ghana; Honduras; Jamaica; Kenya; Liberia; Morocco; Malawi; Nigeria; Sierra Leone; Tunisia; South Africa,"Albania; Armenia; Australia; Bulgaria; Bosnia and Herzegovina; Canada; Cabo Verde; Czechia; Germany; Spain; Estonia; Finland; France; United Kingdom; Georgia; Greece; Croatia; Indonesia; Ireland; Israel; Italy; Jordan; Kosovo; Korea, Republic of; Lithuania; Latvia; Moldova, Republic of; Maldives; North Macedonia; Malta; Montenegro; Mongolia; Netherlands; Norway; New Zealand; Philippines; Papua New Guinea; Portugal; Romania; Serbia; Slovakia; Sweden; Seychelles; Timor-Leste; Ukraine; United States; Zambia","Spain: They exist and are operational.
Law 3/2015 regulating the exercise of the senior official of the General State Administration states remuneration shall be public (art. 4); the Electronic Register of Activities shall be public while the Electronic Register of Assets and Property Rights shall be confidential, with access limited to certain entities, and information from the declarations shall be published annually in the Official Gazette (art. 21). For MPs, amendment in 2011 of Law 5/1985 states the content of the Register of Interests shall be public. The Code of Conduct of the Parliament (2020) establishes the procedure, through the immediate publication of MPs' declarations on the website of the Congress and the Senate and the Parliament's Official Gazette (art. 4).
https://www.boe.es/buscar/doc.php?id=BOE-A-2015-3444; https://www.congreso.es/constitucion/ficheros/leyes_espa/lo_007_2011.pdf; https://www.congreso.es/es/cem/01102020-codconductaCCGG",1,
Anti-Corruption,Asset and Interest Disclosure,Legal Requirements,ac_ad_08,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Collection Requirement,ac_ad_colreq,G.PI.IAD.a.EXIST_COLLECTION,"Are there operational laws, policies, or regulations requiring collection of this info in any form?","From GDB: Most countries around the world have a requirement that public officials declare their interests and assets. Some such requirements are motivated by a desire to avoid conflicts of interest, some to eliminate illicit enrichment, while others combine elements of the two.

There is substantial variance in whose interests and assets must be disclosed. Some frameworks only require public officials who hold specific positions to make financial disclosures, some require all public officials. Some frameworks limit disclosures to the interests and assets under the direct control of the public official alone, some require disclosures of interests and assets belonging to partners, family members, or other close associates.

This indicator is based on the presence and strength of legislation, regulations, or policies that govern whether:
-Financial disclosures contain data on income, spending, assets, and debts.
-Declarations cover both financial interests (income, assets, and liabilities) and non-financial interests (gifts, hospitality, employment, memberships, etc.).
-Declarations are updated in a timely fashion; this includes regular updates, updates that are responsive to changes in position or in interests, assets, and liabilities, as well as ad hoc disclosures to respond to potential or actual conflicts of interest that may arise.
-Financial disclosures are published.
-Declarations must also disclose interests, assets, and liabilities held by a public official's partner, family members, or other close associates.
-A mandate is given to an independent agency or institution to examine declarations and/or investigate violations.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.PI.IAD/
Data: https://globaldatabarometer.org/",Core,0,1,,,0.96,Argentina; Benin; Burkina Faso; Brazil; Chile; Cote d'Ivoire; Colombia; Costa Rica; Dominican Republic; Ecuador; Ghana; Guatemala; Honduras; Jamaica; Kenya; Liberia; Morocco; Mexico; Malawi; Nigeria; Panama; Peru; Paraguay; Senegal; Sierra Leone; Uruguay; South Africa,Tunisia,"Albania; Armenia; Australia; Bulgaria; Bosnia and Herzegovina; Canada; Cabo Verde; Czechia; Germany; Spain; Estonia; Finland; France; United Kingdom; Georgia; Greece; Croatia; Indonesia; Ireland; Israel; Italy; Jordan; Kosovo; Korea, Republic of; Lithuania; Latvia; Moldova, Republic of; Maldives; North Macedonia; Malta; Montenegro; Mongolia; Netherlands; Norway; New Zealand; Philippines; Papua New Guinea; Portugal; Romania; Serbia; Slovakia; Sweden; Seychelles; Timor-Leste; Ukraine; United States; Zambia","Spain: They exist and are operational.
Law 3/2015, of March 30, regulating the exercise of the senior official of the General State Administration (art. 21, Electronic Registers of Activities and Assets and Property Rights of Senior Officials) and the President and members of the board of the governing body of judges (CGPJ) (art. 17 & 18 of law 3/2015). For Members of Parliament, the Agreement of the Boards of the Congress of Deputies and the Senate, of 1 October 2020, approving the Code of Conduct of the Parliament (Cortes Generales), develops and expands the declaration of assets and interests established by Organic Law 5/1985, of June 19, on the General Electoral System (amended in 2011), and includes previous activities and employment, donations, gifts, etc.
URL(s): https://www.boe.es/buscar/doc.php?id=BOE-A-2015-3444;  https://www.congreso.es/es/cem/loreg; https://www.congreso.es/es/cem/01102020-codconductaCCGG; https://www.boe.es/buscar/act.php?id=BOE-A-1985-11672; https://www.poderjudicial.es/portal/site/cgpj/menuitem.87fc234e64fd592b3305d5a7dc432ea0/?vgnextoid=9cf62483f1dc6410VgnVCM1000006f48ac0aRCRD&vgnextlocale=es&vgnextfmt=default&lang_choosen=es\",1,
Anti-Corruption,Asset and Interest Disclosure,Transparency,ac_ad_09,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Data Online,ac_ad_online,A.PI.IAD.a.ONLINE,Is this data available online in any form because of government actions?,"From GDB: Interest and asset declarations’ data should provide a comprehensive overview of the financial state of all relevant public officials, clearly identifying their interests, assets, and liabilities, as well as gifts they receive. In addition to regular updates, such data should include information on any significant changes in an official's interests, assets, and liabilities—for example, it should be responsive to changes in employment. Declarations data should also use unique identifiers to clearly identify not only the public official but also any partners, family members, or other close associates that the country requires to disclose interests and assets as well.

Among other functions, it should be possible to use declarations data to verify that relevant public officials do not have interests that trigger conflict between their public responsibilities and private identity. Datasets may include information about interests that have been divested or placed in a blind trust or other mechanism designated by the country.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.PI.IAD/
Data: https://globaldatabarometer.org/",Core,0,1,,,,,,,"Spain: Data is available from government, or because of government actions.
URL: https://transparencia.gob.es/transparencia/transparencia_Home/index/PublicidadActiva/AltosCargos/DeclaracionesBienesAACC.html; https://www.congreso.es/es/web/guest/busqueda-de-diputados;  https://www.senado.es/web/composicionorganizacion/senadores/declaracionbienesactividades/index.html; https://www.poderjudicial.es/cgpj/es/Temas/Transparencia/Actividad-Economico-Financiera/Altos-Cargos--Retribuciones--declaraciones-de-bienes-y-gastos-de-desplazamiento/",1,
Anti-Corruption,Beneficial Ownership,Legal Requirements,ac_bo_01,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Collection Requirement,ac_bo_colreq,G.COMPANY.BOT.a.EXIST_COLLECTION,"Are there operational laws, policies, or regulations requiring collection of this info in any form?","From GDB: A beneficial owner is a natural person who has the right to some share or enjoyment of a corporate vehicle’s income or assets, or the right to direct or influence the entity’s activities. An individual can own control, or benefit from a corporate vehicle either directly or indirectly. (https://www.openownership.org/en/implementation/beneficial-ownership-glossary/)

Legally, both humans (natural persons) and companies (legal persons) can own, control, or benefit from companies. Sometimes, for purposes such as corruption, crime, or tax evasion, a human will seek to hide their ownership or control by using corporate vehicles like shell companies to obscure their identity. Beneficial owners are thus the individual human beings who ultimately own, wield control, or benefit, whether that’s openly or through corporate vehicles.

It’s important to recognize that the focus of this indicator is on beneficial ownership, rather than legal ownership, shareholders, or directors. In most countries, information on the legal ownership (shareholders) and day-to-day control (directors) of a company has long been available. However, because individuals could often stay anonymous—for example, by linking companies that own each other across jurisdictions with different disclosure requirements—countries have started to legislate separately for beneficial ownership registers.

Sometimes frameworks do not require a centralized register at all; instead, companies may be required to maintain their own registers without any more centralized disclosure. This indicator prioritizes disclosure. Disclosure doesn’t necessarily mean unfettered public access: sometimes frameworks establish a central register—or other unified access point—that law enforcement or other designated entities can access, but the general public cannot.


",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.COMPANY.BOT/
Data: https://globaldatabarometer.org/",Core,0,1,,,0.89,Argentina; Benin; Brazil; Chile; Cote d'Ivoire; Colombia; Costa Rica; Dominican Republic; Ecuador; Ghana; Honduras; Jamaica; Kenya; Liberia; Morocco; Mexico; Malawi; Nigeria; Panama; Peru; Paraguay; Senegal; Tunisia; Uruguay; South Africa,Burkina Faso; Guatemala; Sierra Leone,"Albania; Armenia; Australia; Bulgaria; Bosnia and Herzegovina; Canada; Cabo Verde; Czechia; Germany; Spain; Estonia; Finland; France; United Kingdom; Georgia; Greece; Croatia; Indonesia; Ireland; Israel; Italy; Jordan; Kosovo; Korea, Republic of; Lithuania; Latvia; Moldova, Republic of; Maldives; North Macedonia; Malta; Montenegro; Mongolia; Netherlands; Norway; New Zealand; Philippines; Papua New Guinea; Portugal; Romania; Serbia; Slovakia; Sweden; Seychelles; Timor-Leste; Ukraine; United States; Zambia",,1,
Anti-Corruption,Beneficial Ownership,Legal Requirements,ac_bo_02,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Publication Requirement,ac_bo_pubreq,G.COMPANY.BOT.a.EXIST_PUBLICATION,"Are there operational laws, policies, or regulations requiring publication of this information in any form?","From GDB: A beneficial owner is a natural person who has the right to some share or enjoyment of a corporate vehicle’s income or assets, or the right to direct or influence the entity’s activities. An individual can own control, or benefit from a corporate vehicle either directly or indirectly. (https://www.openownership.org/en/implementation/beneficial-ownership-glossary/)

Legally, both humans (natural persons) and companies (legal persons) can own, control, or benefit from companies. Sometimes, for purposes such as corruption, crime, or tax evasion, a human will seek to hide their ownership or control by using corporate vehicles like shell companies to obscure their identity. Beneficial owners are thus the individual human beings who ultimately own, wield control, or benefit, whether that’s openly or through corporate vehicles.

It’s important to recognize that the focus of this indicator is on beneficial ownership, rather than legal ownership, shareholders, or directors. In most countries, information on the legal ownership (shareholders) and day-to-day control (directors) of a company has long been available. However, because individuals could often stay anonymous—for example, by linking companies that own each other across jurisdictions with different disclosure requirements—countries have started to legislate separately for beneficial ownership registers.

Sometimes frameworks do not require a centralized register at all; instead, companies may be required to maintain their own registers without any more centralized disclosure. This indicator prioritizes disclosure. Disclosure doesn’t necessarily mean unfettered public access: sometimes frameworks establish a central register—or other unified access point—that law enforcement or other designated entities can access, but the general public cannot.


",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/G.COMPANY.BOT/
Data: https://globaldatabarometer.org/",Core,0,1,,,0.36,Brazil; Colombia; Ecuador; Honduras; Jamaica; Kenya; Liberia; Morocco; Nigeria; Tunisia,Argentina; Benin; Burkina Faso; Chile; Cote d'Ivoire; Costa Rica; Dominican Republic; Ghana; Guatemala; Mexico; Malawi; Panama; Peru; Paraguay; Senegal; Sierra Leone; Uruguay; South Africa,"Albania; Armenia; Australia; Bulgaria; Bosnia and Herzegovina; Canada; Cabo Verde; Czechia; Germany; Spain; Estonia; Finland; France; United Kingdom; Georgia; Greece; Croatia; Indonesia; Ireland; Israel; Italy; Jordan; Kosovo; Korea, Republic of; Lithuania; Latvia; Moldova, Republic of; Maldives; North Macedonia; Malta; Montenegro; Mongolia; Netherlands; Norway; New Zealand; Philippines; Papua New Guinea; Portugal; Romania; Serbia; Slovakia; Sweden; Seychelles; Timor-Leste; Ukraine; United States; Zambia",,1,
Anti-Corruption,Beneficial Ownership,Transparency,ac_bo_03,Global Data Barometer 2nd Edition,Global Data Barometer,2025,GDB,Data Online,ac_bo_online,A.COMPANY.BOT.a.ONLINE,Is this data available online in any form?,"From GDB: A beneficial ownership register should contain details of the natural persons who have an ownership or control stake in or benefit from registered companies.

To recap, legally, both humans (natural persons) and companies (legal persons) can own, control, or benefit from companies. Beneficial owners are the individual human beings who ultimately own, wield control, or benefit, whether that’s openly or through corporate vehicles. This indicator investigates data that describes the beneficial owners of companies, rather than legal owners, shareholders, or directors.

A register of the beneficial owners of companies must thus extend beyond the immediate legal owners, shareholders, or directors of a company to identify and disclose the natural persons (individual, named human beings) who exercise ultimate ownership or control or derive economic benefit—even if this ownership, control, or benefiting involves multiple intermediate companies or relationships.

Where company registration is a subnational responsibility, beneficial ownership registers may also be maintained subnationally. To achieve the highest scores on this indicator, it should be possible to easily access data about all the beneficial owners of companies in a country. This might be achieved by:

Having a central register of companies’ beneficial owners;

Government providing an aggregation service that brings together data from local registers; or

Having standardized or comparable-quality data available from every subnational register, such that a third party can easily aggregate the data.",1,No; Yes,1,"Method: https://handbook.globaldatabarometer.org/2024/indicators/A.COMPANY.BOT/
Data: https://globaldatabarometer.org/",Core,0,0,,,0.11,Ecuador; Ghana; Nigeria,Argentina; Benin; Burkina Faso; Brazil; Chile; Cote d'Ivoire; Colombia; Costa Rica; Dominican Republic; Guatemala; Honduras; Jamaica; Kenya; Liberia; Morocco; Mexico; Malawi; Panama; Peru; Paraguay; Senegal; Sierra Leone; Tunisia; Uruguay; South Africa,"Albania; Armenia; Australia; Bulgaria; Bosnia and Herzegovina; Canada; Cabo Verde; Czechia; Germany; Spain; Estonia; Finland; France; United Kingdom; Georgia; Greece; Croatia; Indonesia; Ireland; Israel; Italy; Jordan; Kosovo; Korea, Republic of; Lithuania; Latvia; Moldova, Republic of; Maldives; North Macedonia; Malta; Montenegro; Mongolia; Netherlands; Norway; New Zealand; Philippines; Papua New Guinea; Portugal; Romania; Serbia; Slovakia; Sweden; Seychelles; Timor-Leste; Ukraine; United States; Zambia",,1,
Anti-Corruption,Beneficial Ownership,Transparency,ac_bo_05,Open Ownership Map,Open Ownership,2025,OO,BO Register,ac_bo_register,Stage,The government has a live BO register.,,1,No; Yes,0,https://www.openownership.org/en/map/,Core,0,1,"Considers only launched registers, not planned registers",,0.68,Albania; Argentina; Armenia; Bosnia and Herzegovina; Brazil; Bulgaria; Canada; Colombia; Costa Rica; Croatia; Czechia; Ecuador; Estonia; Finland; France; Germany; Ghana; Greece; Indonesia; Ireland; Italy; Jamaica; Kenya; Latvia; Lithuania; Malawi; Malta; Mongolia; Morocco; Netherlands; Nigeria; North Macedonia; Norway; Panama; Paraguay; Peru; Philippines; Portugal; South Africa; Romania; Senegal; Serbia; Seychelles; Slovakia; Spain; Sweden; Ukraine; United Kingdom; United States; Uruguay; Zambia,"Australia; Benin; Burkina Faso; Chile; Cote d'Ivoire; Cabo Verde; Dominican Republic; Georgia; Guatemala; Honduras; Israel; Jordan; Kosovo; Korea, Republic of; Liberia; Moldova, Republic of; Maldives; Mexico; Montenegro; New Zealand; Papua New Guinea; Sierra Leone; Timor-Leste; Tunisia",None,"Spain: https://www.registradores.org/registro-de-titularidades-reales
Scope: Full-economy
Register launched: 2018
Threshold used to determine beneficial ownership: 25%
Structured data publicly available: No
Published as BODS: No
Available via API: No",1,
Anti-Corruption,Beneficial Ownership,Transparency,ac_bo_06,Open Ownership Map,Open Ownership,2025,OO,CSO Accessibility,ac_bo_csoaccess,Who can access,Civil society can access the register.,,1,No; Yes,0,https://www.openownership.org/en/map/,Core,0,1,"""Civil Society"" must be able access the register, not just competent authorities",,0.61,Albania; Armenia; Bulgaria; Canada; Czechia; Ecuador; Estonia; Finland; France; Germany; Ghana; Indonesia; Italy; Kenya; Latvia; Lithuania; Malawi; Mongolia; Morocco; Nigeria; North Macedonia; Norway; Philippines; Portugal; Romania; Serbia; Slovakia; Spain; Sweden; Ukraine; Zambia,Argentina; Bosnia and Herzegovina; Brazil; Colombia; Costa Rica; Croatia; Greece; Ireland; Jamaica; Malta; Netherlands; Panama; Paraguay; Peru; South Africa; Senegal; Seychelles; United Kingdom; United States; Uruguay,"Australia; Benin; Burkina Faso; Chile; Cote d'Ivoire; Cabo Verde; Dominican Republic; Georgia; Guatemala; Honduras; Israel; Jordan; Kosovo; Korea, Republic of; Liberia; Moldova, Republic of; Maldives; Mexico; Montenegro; New Zealand; Papua New Guinea; Sierra Leone; Timor-Leste; Tunisia",Spain: Registrar | Competent authorities | General public,1,
Anti-Corruption,Beneficial Ownership,Transparency,ac_bo_07,Open Ownership Map,Open Ownership,2025,OO,Public Accessibility,ac_bo_pubaccess,Who can access,The public can access the register.,,1,No; Yes,0,https://www.openownership.org/en/map/,Core,0,1,"The ""General Public"" must be able access the register, not only those with legitimate interests, like CSOs",,0.55,Albania; Armenia; Bulgaria; Canada; Czechia; Ecuador; Estonia; France; Ghana; Indonesia; Italy; Kenya; Latvia; Lithuania; Malawi; Mongolia; Morocco; Nigeria; North Macedonia; Philippines; Portugal; Romania; Serbia; Slovakia; Spain; Sweden; Ukraine; Zambia,Argentina; Bosnia and Herzegovina; Brazil; Colombia; Costa Rica; Croatia; Finland; Germany; Greece; Ireland; Jamaica; Malta; Netherlands; Norway; Panama; Paraguay; Peru; South Africa; Senegal; Seychelles; United Kingdom; United States; Uruguay,"Australia; Benin; Burkina Faso; Chile; Cote d'Ivoire; Cabo Verde; Dominican Republic; Georgia; Guatemala; Honduras; Israel; Jordan; Kosovo; Korea, Republic of; Liberia; Moldova, Republic of; Maldives; Mexico; Montenegro; New Zealand; Papua New Guinea; Sierra Leone; Timor-Leste; Tunisia",Spain: Registrar | Competent authorities | General public,1,
Anti-Corruption,Extractives,NA,ac_ei_01,EITI Validation Data,Extractive Industries Transparency Initiative (EITI),2025,EITI,Contract and license allocations,ac_ei_allocations,2.2,"Public overview of awards and procedures for transfers of oil, gas and mining licenses","EITI uses the following metrics to evaluate this requirement. For OGP purposes, ""Fully met"" or ""Exceeded"" is a Yes, ""Mostly met"" or ""Partly met"" is a Partial"". See how EITI determines these scores below. 

From EITI: The objective of this requirement is to provide a public overview of awards and transfers of oil, gas and mining licenses, the statutory procedures for license awards and transfers and whether these procedures are followed in practice. This can allow stakeholders to identify and address possible weaknesses in the license allocation process, including those that make the process vulnerable to corruption. 

Exceeded (100 points): All aspects of the requirement, including ‘expected’, ‘encouraged’ and ‘recommended’ aspects, have been implemented and the broader objective of the requirement has been fulfilled through systematic disclosures in government and company systems. 

Fully met (90 points): The broader objective of the requirement has been fulfilled, and all required aspects of the requirement have been addressed. 

Mostly met (60 points): Significant aspects of the requirement have been implemented, and the broader objective of the requirement is mostly fulfilled. 

Partly met (30 points): Significant aspects of the requirement have not been implemented, and the broader objective of the requirement is not fulfilled. 

Not met (0 points): All or nearly all aspects of the requirement remain outstanding, and the broader objective of the requirement is far from fulfilled.",2,Yes; Partial,1,https://eiti.org/guidance-notes/validation-guide-2023-eiti-standard#:~:text=Requirement%202.2%3A%20Contract%20and%20license%20allocations%C2%A0,Core,0,0,,,0.30,Armenia; Cote d'Ivoire; Dominican Republic; Germany; Honduras; Norway; Ukraine; United Kingdom; Zambia,Argentina; Albania; Burkina Faso; Colombia; Ecuador; Ghana; Guatemala; Indonesia; Malawi; Mexico; Mongolia; Netherlands; Nigeria; Papua New Guinea; Peru; Philippines; Senegal; Seychelles; Sierra Leone; Timor-Leste; Argentina,"Australia; Benin; Bulgaria; Bosnia and Herzegovina; Brazil; Canada; Chile; Cabo Verde; Costa Rica; Czechia; Spain; Estonia; Finland; France; Georgia; Greece; Croatia; Ireland; Israel; Italy; Jamaica; Jordan; Kenya; Kosovo; Korea, Republic of; Liberia; Lithuania; Latvia; Morocco; Moldova, Republic of; Maldives; North Macedonia; Malta; Montenegro; New Zealand; Panama; Portugal; Paraguay; Romania; Serbia; Slovakia; Sweden; Tunisia; Uruguay; United States; South Africa",,1,
